ENTITY_ID;NAME;TYPE;SITE;CANTON;MAX_WATER_VOLUME_M3_S;MAX_POWER_MW;START_OF_OPERATION_FIRST;START_OF_OPERATION_LAST;LATITUDE;LONGITUDE;STATUS;WATERBODIES;IMAGE_URL
205600;Le Chalet;L;Orbe;VD;18.0;2.32;1894;1988;46.727736;6.52224353;im Normalbetrieb;L'Orbe;
205650;Moulinets sur l'Orbe;L;Orbe;VD;21.6;1.01;2013;-1;46.72097928;6.53229979;im Normalbetrieb;L'Orbe;
205700;Moulins ROD;L;Orbe;VD;15.0;0.58;1920;1982;46.72079939;6.53230281;stillgelegt;L'Orbe;
205850;St.Sulpice;L;St.Sulpice;NE;12.5;3.8;1988;1988;46.91063101;6.55745773;im Normalbetrieb;L'Areuse (Source);
205900;Le Furcil;L;Noiraigue, Le Furcil;NE;10.0;0.64;1956;1956;46.95366968;6.7318733;im Normalbetrieb;L'Areuse;
206000;Plan-de-l'Eau;L;Brot - Dessous;NE;4.8;1.02;1896;1928;46.95311233;6.74370401;im Normalbetrieb;L'Areuse;
206100;Les Moyats;L;Brot-Dessous, Les Moyats;NE;4.56;1.5;1887;1940;46.95291981;6.75658079;im Normalbetrieb;L'Areuse;
206200;Combe-Garot;L;Boudry, Combe-Garot;NE;6.0;4.49;1897;1961;46.96232527;6.79640484;im Normalbetrieb;L'Areuse;
206300;Usine du Chanet;L;Boudry;NE;7.3;4.2;1914;1972;46.95926431;6.82889349;im Normalbetrieb;L'Areuse;
206350;Boudry (les Essert);L;Boudry;NE;14.0;0.5;2014;-1;46.9508823;6.84291319;im Normalbetrieb;L'Areuse;
206400;Serrières centrale 3;L;Neuchâtel, Serrières;NE;5.26;0.4;1920;1983;46.98418642;6.90182552;stillgelegt;La Serrière;
206500;Serrières centrale 1;L;Neuchâtel, Serrières;NE;2.5;0.34;1939;1979;46.98239848;6.90420932;stillgelegt;La Serrière;
206525;Serrières centrale 2;L;Neuchâtel, Serrières;NE;3.9;0.3;1939;1979;46.98177128;6.90474132;stillgelegt;La Serrière;
206530;La Serrière;L;La Serrière, Neuchâtel;NE;5.0;1.3;2016;-1;46.98177128;6.90474132;im Normalbetrieb;Source de la Serrière;
206550;Sous les Roches;L;Sonceboz;BE;5.0;0.36;2005;2005;47.18961639;7.1839806;im Normalbetrieb;La Suze;
206600;Rondchâtel;L;Péry, Rondchâtel;BE;7.0;3.0;1883;2013;47.1710339;7.24975567;im Normalbetrieb;La Suze;
206700;Chauffat;L;Péry, Frinvillier;BE;2.8;0.3;1893;1924;47.17013958;7.25292439;stillgelegt;La Suze;
206750;Frinvillier;L;Frinvillier;BE;7.5;0.33;1869;2005;47.1683419;7.25372199;im Normalbetrieb;Schüss;
206800;Taubenloch;L;Biel-Bözingen;BE;3.0;0.3;1896;2006;47.16070878;7.26166088;im Normalbetrieb;Schüss;
206900;Bözingen;L;Bözingen;BE;6.6;2.75;1876;2013;47.15450977;7.26656019;im Normalbetrieb;Schüss;
206950;Brügg;L;Brügg;BE;219.4;3.6;1995;1995;47.11914693;7.25810851;im Normalbetrieb;Aare;
206975;Wannenfluh;L;Rüderswil;BE;12.0;0.4;1999;1999;46.99732619;7.72196376;im Normalbetrieb;Emme;
206985;Gohlhaus, Lützelflüh;L;Gohlhusbrügg, Lützelflüh;BE;16.0;0.42;2016;-1;47.00279306;7.69214485;im Normalbetrieb;Emme;
207000;Hagerhüsli;L;Bätterkinden;BE;12.0;0.48;1854;2002;47.12095688;7.53549343;im Normalbetrieb;Aefligen-Giesse, Emme;
207100;Bätterkinden;L;Bätterkinden;BE;12.0;0.38;1855;2002;47.13300248;7.54408265;im Normalbetrieb;Aefligen-Giesse, Emme, Urtenen;
207200;Utzenstorf;L;Utzenstorf;BE;12.0;0.35;1893;1949;47.14586328;7.54608555;im Normalbetrieb;Emme;
207300;Gerlafingen 1;L;Wiler bei Utzenstorf;BE;12.0;0.5;1889;1995;47.15584875;7.54478696;im Normalbetrieb;Emme;
207400;Biberist;L;Biberist;SO;12.0;0.49;1864;1985;47.18352773;7.56911722;im Normalbetrieb;Emme;
207500;Emmenhof;L;Derendingen;SO;12.0;0.32;1863;1986;47.19484489;7.58273663;im Normalbetrieb;Emme;
207600;Untere Emmengasse;L;Luterbach;SO;13.0;0.82;1876;2001;47.20456358;7.57919926;im Normalbetrieb;Emme;
207650;Luterbach;L;Luterbach;SO;12.0;0.3;1888;1988;47.21419328;7.57473632;im Normalbetrieb;Emme;
207700;Flumenthal;L;Riedholz;SO;350.0;21.7;1970;2009;47.22910547;7.58995932;im Normalbetrieb;Aare;
